day,month,date,outlet_id,outlet_name,media_type,unit_of_analysis,topic_economy,topic_debates,topic_employment,topic_nhs,topic_polls,topic_schools,immigration,topic_eu,topic_housing,con_mention,lab_mention,ld_mention,snp_mention,pc_mention,ukip_mention,green_mention,cameron,miliband,clegg,sturgeon,wood,farage,bennett,tone_overall,posemo_overall,negemo_overall,con_tone,con_posemo,con_negemo,lab_tone,lab_posemo,lab_negemo,ld_tone,ld_posemo,ld_negemo,snp_tone,snp_posemo,snp_negemo,pc_tone,pc_posemo,pc_negemo,ukip_tone,ukip_posemo,ukip_negemo,green_tone,green_posemo,green_negemo,cameron_tone,cameron_posemo,cameron_negemo,miliband_tone,miliband_posemo,miliband_negemo,clegg_tone,clegg_posemo,clegg_negemo,sturgeon_tone,sturgeon_posemo,sturgeon_negemo,wood_tone,wood_posemo,wood_negemo,farage_tone,farage_posemo,farage_negemo,bennett_tone,bennett_posemo,bennett_negemo
19,4,19apr2015,73,Public tweets,social_media,tweet,.046761487,.029400731,.041167844,.067533001,.023261366,.025614789,.0084927864,.029400731,.038166378,.14833385,.12080903,.034278113,.18438555,.020225791,.06763532,.0088338619,.11596575,.082949623,.0055254274,.062826157,.0023875302,.017258434,.00068215153,40.928455,2.2710342,1.4839112,41.279819,2.3941619,1.576705,41.273643,2.397222,1.63596,45.540558,1.8712438,.82832837,36.395588,1.8513985,1.3650056,34.556797,1.3886341,1.1846881,32.035603,1.5671508,2.0545487,60.225445,3.7249036,1.0816989,45.238846,2.3254707,1.5017,31.841558,1.5994244,1.4582484,45.209198,2.0581481,.69549382,53.588387,2.7093377,.70629752,35.853287,1.3411429,.87128574,36.578854,1.9292095,2.2783201,60.638,4.526,1.3195
20,4,20apr2015,73,Public tweets,social_media,tweet,.031785265,.018624518,.023221023,.062074497,.02731885,.029075062,.0057239495,.02079268,.032392349,.079788387,.093252681,.040978275,.2151251,.016629808,.035796367,.014309874,.038680021,.058215167,.0082606999,.081349462,.00067213044,.006677941,.0017778934,42.099319,2.0952692,1.143404,39.827374,2.0999973,1.7001712,45.800148,2.5042131,1.3815322,38.405529,1.5415397,1.137762,43.116726,2.3673422,1.4709947,58.569595,2.8252282,.28140807,34.143841,1.6596245,1.9260206,73.021019,4.1209393,.35248485,35.854176,2.0688286,2.099916,56.029736,2.6818326,.87277466,42.771786,1.6782939,.96128613,48.058567,2.5142086,.89076757,65.423546,6.0403228,.12419354,34.898766,2.106883,2.1287663,70.435486,3.4310975,1.4520732
21,4,21apr2015,73,Public tweets,social_media,tweet,.052748565,.030033611,.023229968,.08649572,.031117858,.025886372,.01168275,.02702483,.036837254,.13582891,.12336008,.045944922,.19616719,.017212404,.041228451,.0089179222,.047652606,.074162424,.0095684705,.052450396,.0011655644,.0093245152,.001463732,41.594288,2.3132439,1.5642692,32.969681,2.0210977,2.7353482,39.184326,2.1335661,1.8707098,40.490448,1.9748672,1.2042183,32.910538,1.7230067,2.0639353,53.523354,2.5071654,.12083465,35.738396,1.8785799,2.1045365,68.605804,3.9506383,.45665655,29.711678,2.1189647,3.1401877,33.865463,1.2636623,1.3527266,44.108925,2.4765155,1.2864306,37.879345,1.8349664,1.6857623,42.920002,1.4797674,.84093022,35.568054,1.8465698,1.6045058,69.608521,3.9946296,.38481483
22,4,22apr2015,73,Public tweets,social_media,tweet,.067103252,.024233332,.048351269,.068863049,.035571069,.029455038,.01052996,.027002856,.030089721,.094596542,.1213109,.04497591,.13244671,.026627816,.065228052,.011770476,.085970633,.050255317,.01344373,.018290397,.001557857,.016472897,.0037503967,46.031284,2.7818074,1.4450134,44.069412,2.7523117,1.9241384,46.875301,2.7664924,1.5972581,41.95385,2.13288,.96420139,41.014629,2.2781639,1.7447811,51.763859,2.4697182,.62631637,31.010473,1.8383679,2.6765769,70.812477,4.6603432,1.0983334,40.333767,2.3938961,1.9864799,48.812241,2.9334903,1.3406085,38.901501,1.8388412,1.4474463,48.813076,2.5707254,1.3275552,71.003708,3.9931481,0,39.972031,2.5388441,2.2184763,71.937614,6.3463845,3.391
23,4,23apr2015,73,Public tweets,social_media,tweet,.07736472,.018774221,.021099469,.091689393,.024659107,.030716233,.0053394577,.027443662,.027874265,.1019377,.15214583,.046677191,.14135209,.026065739,.059623942,.015214583,.043433327,.033443376,.011367877,.018716808,.00086120283,.008784269,.0042773071,46.169868,2.7146952,1.3922429,41.87397,2.5193326,2.0504618,51.884308,2.9963641,1.2063812,51.595737,2.5731735,.55656213,42.033039,2.3135865,1.5676787,53.443394,2.7103305,.21344714,32.802094,1.6686423,2.1130764,70.069794,4.4677548,.87816983,33.262466,2.2257898,2.1582484,37.786301,1.7676138,1.5013562,50.098434,3.1929293,1.1854041,47.023544,2.8506289,1.7576687,44.029335,1.3376666,0,43.593334,2.5635948,1.7141176,83.008858,6.0505366,2.0377181
24,4,24apr2015,73,Public tweets,social_media,tweet,.072354175,.016127514,.021524269,.070220575,.028019203,.034420006,.017006056,.032537416,.046876471,.11361426,.14044115,.044460483,.11985818,.019453421,.061654795,.01035424,.059960466,.067114301,.01286436,.016064761,.002447366,.015123466,.001098177,46.355019,2.6832383,1.5077341,46.971245,2.8146508,2.0065866,48.714478,2.8121157,1.7623503,45.845066,2.5501764,1.1986027,42.917065,2.4868429,1.6139137,54.000549,2.8375485,.55699998,36.122688,2.1387277,2.393995,69.148697,4.21697,.67000002,34.408424,2.1136265,2.289974,33.980076,1.9689668,2.9435952,46.791855,2.9866097,1.8740244,55.543713,2.836797,1.0064453,52.33231,2.3971796,0,55.918114,3.0334024,1.1380706,48.43,3.3985715,2.3305714
25,4,25apr2015,73,Public tweets,social_media,tweet,.057528488,.010288749,.019249918,.10037983,.019028654,.022163218,.01014124,.024965888,.038204815,.10104363,.12914407,.043109488,.22716378,.018217355,.052181289,.0069697974,.068407275,.047165986,.028801121,.071763098,.00088505365,.0087030279,.00055315852,45.75312,2.5552769,1.3587735,44.84705,2.6832592,1.9689817,46.692795,2.661088,1.6459994,42.752815,1.8762875,1.0458853,44.122948,2.4133506,1.1508377,75.979759,4.4002833,.19734818,31.792297,1.9539647,2.7072508,72.175293,4.6233864,.9236508,44.640907,2.4032669,1.3794717,31.247311,1.0608757,1.6049258,48.6894,3.0517926,1.1411524,47.045956,2.0585971,.46023124,71.667084,3.0691667,0,56.666355,4.472373,1.6942374,57.699333,4.8726664,2.2733333
26,4,26apr2015,73,Public tweets,social_media,tweet,.063882664,.010466256,.024992999,.055376645,.025273032,.017607113,.0063707647,.031713806,.048515823,.12892047,.14761272,.044420332,.21940632,.025203025,.061397366,.0087160459,.062237468,.084150098,.012111453,.022962756,.0032203863,.0044455333,.00063007564,46.295738,2.668716,1.4471766,45.235176,2.7419279,1.903527,41.965717,2.4022551,1.8123215,39.803009,1.6502994,.68458629,44.891518,2.0977569,.9926452,62.903915,3.8922083,.35651389,30.141481,1.5616249,2.9060376,65.75209,3.8311245,.27124497,46.756466,2.9690664,1.9769123,47.66029,2.7259109,1.3626498,39.600174,1.84,.97494221,41.013325,1.8189329,.74333841,67.970215,3.3607609,.2577174,39.815983,2.045433,1.5087402,87.101669,5.7594442,.72499996
27,4,27apr2015,73,Public tweets,social_media,tweet,.047082961,.023156814,.019540967,.073676109,.054827541,.03400436,.0071547632,.034465957,.067367613,.11150148,.1481472,.042543914,.17032953,.021207847,.05980254,.014617259,.050160278,.04405693,.011463008,.038133092,.00130786,.0051545068,.0022566996,46.557362,2.6473107,1.2823777,43.794571,2.6099954,1.7342778,44.422443,2.3887346,1.3175974,50.579254,2.6089752,.8151477,40.625862,2.2119391,1.6636841,53.002262,2.6336517,.65725517,31.374027,1.5947984,2.1344469,76.052475,5.653316,.76466668,48.602291,2.9427097,1.7787628,36.76223,2.0566938,1.6826135,41.275928,1.8187249,.947047,56.003147,3.5674849,1.5141628,46.402744,1.4378431,.098039217,45.667912,2.2261691,1.9862686,49.559658,4.5702271,3.0137501
28,4,28apr2015,73,Public tweets,social_media,tweet,.079899773,.033117201,.026142441,.075224094,.029009841,.042623542,.012218749,.035855442,.055462271,.098602466,.11862262,.039342821,.12663068,.019813489,.049417477,.013097052,.053240679,.063134506,.016997753,.030533956,.00074914109,.011004624,.00059414638,45.904858,2.5852723,1.3015233,46.933681,2.7990437,1.5837648,45.105896,2.5694056,1.5923411,45.352764,2.2252266,.67405778,40.504822,2.1310077,1.5498184,35.561981,1.2648109,.78207302,34.020271,1.8576895,2.4635494,61.510906,3.6173177,.80169624,45.754608,2.3373218,1.3626977,44.956406,2.2000573,1.1942103,53.561504,2.3122342,.41870821,62.932182,3.3602455,.91643822,27.403793,.51551723,.61413795,30.847136,1.6212677,2.4881456,46.842609,3.0747826,1.5260869
